hhid,round,comment,s17q1,s17q7,s17q2,s17q11,s17q12,s17q13,s17q8,s17q9,s17q3,s17q4,s17q5,s17q6,s17q10
1002,5,0,somewhat valuable,No,No,,,Yes,1,No,,,,,
1003,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,was not informed early enough
1004,5,0,somewhat valuable,No,No,,,No,,,,,No,,
1005,5,0,I don't know,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
1006,5,0,somewhat valuable,No,No,,,No,,,,,No,,
1007,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1008,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1009,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1010,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
1011,5,0,very valuable,No,No,,,No,,,,,No,,
1012,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
1013,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1014,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
1015,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1016,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1017,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1018,5,0,I don't know,Yes,Yes,very helpful,much more willing,,,,,,,,
1019,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1021,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
1022,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1023,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
1024,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1025,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
1026,5,0,somewhat valuable,Yes,No,,,Yes,1,Yes,very helpful,much more willing,,,
1027,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
1029,5,0,I don't know,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
1031,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1032,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1033,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1034,5,0,no value,No,No,,,No,,,,,No,,
1035,5,0,very valuable,Yes,Yes,not helpful,somewhat more willing,,,,,,,,
1036,5,0,very valuable,No,No,,,No,,,,,No,,
1037,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1038,5,0,somewhat valuable,No,No,,,No,,,,,No,,
1039,5,0,very valuable,No,No,,,No,,,,,No,,
1042,5,0,I don't know,Yes,No,,,No,,,,,No,,had more important issues to attend
1043,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1045,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
1047,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
2001,5,0,I don't know,Yes,No,,,No,,,,,Yes,somewhat more willing,was not informed early enough
2002,5,0,very valuable,No,No,,,No,,,,,No,,
2004,5,0,very valuable,No,No,,,No,,,,,No,,
2005,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2007,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,was not informed early enough
2008,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
2009,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2010,5,0,I don't know,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
2011,5,0,somewhat valuable,Yes,Yes,somewhat helpful,less willing,,,,,,,,
2012,5,0,very valuable,No,No,,,No,,,,,No,,
2013,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
2015,5,0,very valuable,No,No,,,No,,,,,No,,
2016,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2018,5,0,very valuable,No,No,,,No,,,,,No,,
2019,5,0,very valuable,No,No,,,No,,,,,No,,
2020,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2021,5,0,I don't know,Yes,No,,,No,,,,,Yes,somewhat more willing,was not informed early enough
2022,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,was not informed early enough
2023,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2024,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2025,5,0,very valuable,No,No,,,No,,,,,No,,
2026,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
2027,5,0,very valuable,No,No,,,No,,,,,No,,
2028,5,0,very valuable,No,No,,,No,,,,,No,,
2029,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2030,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
2031,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2032,5,0,I don't know,No,No,,,No,,,,,No,,
2033,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
2034,5,0,I don't know,No,Yes,somewhat helpful,less willing,,,,,,,,
2035,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
2036,5,0,somewhat valuable,No,No,,,No,,,,,Yes,much more willing,
2037,5,0,very valuable,No,No,,,No,,,,,No,,
2038,5,0,somewhat valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
2039,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2040,5,0,very valuable,Yes,No,,,Yes,1,No,,,,,
2041,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2043,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
2044,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
2045,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
2046,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2047,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2048,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2049,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2050,5,0,I don't know,No,No,,,No,,,,,No,,
2051,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
2052,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2053,5,0,somewhat valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
2054,5,0,very valuable,Yes,No,,,Yes,1,No,,,,,
2055,5,0,very valuable,No,No,,,No,,,,,No,,
2056,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2057,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2059,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
2060,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2061,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2062,5,0,very valuable,Yes,No,,,No,,,,,No,,was not informed early enough
2063,5,0,very valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
2065,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2066,5,0,somewhat valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
2068,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
2069,5,0,very valuable,Yes,No,,,Yes,3,Yes,very helpful,much more willing,,,
2070,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
2071,5,0,very valuable,Yes,No,,,Yes,1,Yes,very helpful,much more willing,,,
2072,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2073,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
2074,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2075,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2076,5,0,very valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
2077,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2078,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2079,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2080,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2081,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2082,5,0,I don't know,No,No,,,No,,,,,No,,
2083,5,0,somewhat valuable,No,No,,,No,,,,,Yes,I don't know,
2084,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2086,5,0,very valuable,No,No,,,No,,,,,No,,
2088,5,0,very valuable,Yes,No,,,Yes,6,Yes,very helpful,much more willing,,,
2089,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
2090,5,0,somewhat valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
2091,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
2092,5,0,somewhat valuable,No,No,,,No,,,,,No,,
2093,5,0,I don't know,Yes,No,,,No,,,,,Yes,somewhat more willing,was not informed early enough
2094,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2095,5,0,,,,,,,,,,,,,
2096,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2097,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,was not informed early enough
2098,5,0,very valuable,No,No,,,No,,,,,No,,
2099,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2102,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2103,5,0,very valuable,No,No,,,No,,,,,No,,
2106,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2110,5,0,I don't know,Yes,No,,,Yes,5,Yes,very helpful,much more willing,,,
2111,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
2112,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
2114,5,0,somewhat valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
2126,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
3001,5,0,very valuable,Yes,Yes,not helpful,I don't know,,,,,,,,
3002,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3003,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3006,5,0,very valuable,No,No,,,No,,,,,No,,
3007,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3008,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3009,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3010,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
3011,5,0,very valuable,Yes,No,,,Yes,1,Yes,very helpful,somewhat more willing,,,
3012,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3013,5,0,very valuable,Yes,No,,,Yes,2,Yes,very helpful,much more willing,,,
3015,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3016,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
3018,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3019,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3020,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3021,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3022,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3023,5,0,somewhat valuable,Yes,No,,,Yes,1,No,,,,,
3024,5,0,somewhat valuable,Yes,Yes,not helpful,somewhat more willing,,,,,,,,
3026,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3027,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3028,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3029,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
3030,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
3031,5,0,very valuable,Yes,No,,,Yes,3,Yes,very helpful,much more willing,,,
3033,5,0,very valuable,Yes,No,,,Yes,3,Yes,very helpful,much more willing,,,
3034,5,0,very valuable,No,No,,,No,,,,,No,,
3035,5,0,somewhat valuable,No,No,,,Yes,1,No,,,,,
3041,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4001,5,0,very valuable,No,No,,,No,,,,,No,,
4002,5,0,very valuable,No,No,,,No,,,,,No,,
4004,5,0,very valuable,No,No,,,No,,,,,No,,
4005,5,0,I don't know,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
4007,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4010,5,0,very valuable,Yes,No,,,Yes,1,No,,,,,
4011,5,0,I don't know,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
4013,5,0,very valuable,No,No,,,No,,,,,No,,
4014,5,0,I don't know,No,No,,,No,,,,,No,,
4019,5,0,very valuable,No,No,,,No,,,,,No,,
4020,5,0,I don't know,Yes,No,,,No,,,,,No,,had more important issues to attend
4021,5,0,somewhat valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
4022,5,0,I don't know,No,No,,,No,,,,,No,,
4023,5,0,somewhat valuable,No,No,,,No,,,,,No,,
4024,5,0,I don't know,No,No,,,No,,,,,No,,
4025,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4026,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4027,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4028,5,0,I don't know,Yes,No,,,No,,,,,No,,had more important issues to attend
4029,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
4030,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4031,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4032,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4033,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4035,5,0,very valuable,No,No,,,No,,,,,No,,
4037,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
4038,5,0,very valuable,Yes,Yes,somewhat helpful,less willing,,,,,,,,
4039,5,0,somewhat valuable,No,No,,,No,,,,,No,,
4040,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
4041,5,0,somewhat valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
4042,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4043,5,0,I don't know,No,No,,,No,,,,,Yes,I don't know,
4044,5,0,somewhat valuable,No,No,,,No,,,,,No,,
4045,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4048,5,0,somewhat valuable,No,No,,,No,,,,,No,,
4049,5,0,I don't know,Yes,Yes,not helpful,less willing,,,,,,,,
4050,5,0,very valuable,No,No,,,No,,,,,No,,
4051,5,0,I don't know,No,No,,,No,,,,,No,,
4052,5,0,no value,Yes,Yes,not helpful,less willing,,,,,,,,
4053,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4054,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4055,5,0,somewhat valuable,Yes,No,,,No,,,,,No,,had more important issues to attend
4056,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4057,5,0,I don't know,No,No,,,No,,,,,No,,
4058,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
4059,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4060,5,0,very valuable,No,No,,,No,,,,,No,,
4062,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
4063,5,0,very valuable,No,No,,,No,,,,,No,,
4064,5,0,somewhat valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
4066,5,0,I don't know,Yes,Yes,not helpful,less willing,,,,,,,,
4068,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4069,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4070,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4071,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4073,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
4074,5,0,I don't know,No,No,,,No,,,,,No,,
4075,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
4076,5,0,I don't know,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
4078,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4079,5,0,I don't know,No,No,,,No,,,,,No,,
4082,5,0,somewhat valuable,Yes,No,,,Yes,1,Yes,somewhat helpful,much more willing,,,
4083,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4084,5,0,somewhat valuable,No,No,,,No,,,,,No,,
4086,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4087,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4089,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
4090,5,0,I don't know,Yes,Yes,I don't know,somewhat more willing,,,,,,,,
4091,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
4095,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4103,5,0,I don't know,No,No,,,No,,,,,No,,
4107,5,0,very valuable,Yes,No,,,Yes,2,Yes,very helpful,much more willing,,,
4108,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
4110,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
4111,5,0,I don't know,Yes,No,,,No,,,,,No,,had more important issues to attend
5001,5,0,I don't know,No,No,,,No,,,,,No,,
5002,5,0,I don't know,No,No,,,No,,,,,No,,
5005,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
5008,5,0,I don't know,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
5009,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
5010,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
5011,5,0,somewhat valuable,Yes,Yes,somewhat helpful,less willing,,,,,,,,
5012,5,0,I don't know,Yes,Yes,I don't know,I don't know,,,,,,,,
5013,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
5015,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
5016,5,0,I don't know,Yes,No,,,No,,,,,Yes,somewhat more willing,the venue too far from my home
5018,5,0,I don't know,Yes,Yes,I don't know,somewhat more willing,,,,,,,,
5019,5,0,I don't know,No,No,,,No,,,,,No,,
5020,5,0,I don't know,No,No,,,No,,,,,No,,
5021,5,0,very valuable,No,No,,,No,,,,,Yes,much more willing,
5022,5,0,somewhat valuable,No,No,,,No,,,,,No,,
5024,5,0,I don't know,No,No,,,No,,,,,No,,
5030,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
5031,5,0,I don't know,No,No,,,No,,,,,No,,
5037,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
5038,5,0,very valuable,No,No,,,No,,,,,No,,
5041,5,0,I don't know,No,No,,,No,,,,,No,,
5043,5,0,I don't know,No,No,,,No,,,,,No,,
5045,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
5046,5,0,I don't know,Yes,Yes,somewhat helpful,less willing,,,,,,,,
5047,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,was not informed early enough
5049,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
5050,5,0,somewhat valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
5051,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,the venue too far from my home
5052,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
5053,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
5054,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
5055,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
5056,5,0,I don't know,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
5057,5,0,somewhat valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
5061,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
5066,5,0,I don't know,Yes,No,,,No,,,,,No,,was not informed early enough
5068,5,0,I don't know,No,No,,,No,,,,,No,,
5070,5,0,somewhat valuable,No,No,,,No,,,,,Yes,somewhat more willing,
5072,5,0,I don't know,No,No,,,No,,,,,No,,
5073,5,0,very valuable,Yes,Yes,not helpful,less willing,,,,,,,,
5075,5,0,very valuable,Yes,No,,,Yes,1,Yes,very helpful,much more willing,,,
5077,5,0,I don't know,No,No,,,No,,,,,Yes,I don't know,
5082,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
5084,5,0,I don't know,No,No,,,No,,,,,No,,
5086,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
5088,5,0,no value,Yes,No,,,No,,,,,No,,had more important issues to attend
5089,5,0,somewhat valuable,No,No,,,No,,,,,No,,
5093,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
5094,5,0,no value,Yes,Yes,not helpful,less willing,,,,,,,,
5096,5,0,I don't know,Yes,Yes,I don't know,less willing,,,,,,,,
6001,5,0,I don't know,No,No,,,No,,,,,No,,
6002,5,0,I don't know,Yes,No,,,No,,,,,Yes,somewhat more willing,was not informed early enough
6004,5,0,I don't know,Yes,No,,,No,,,,,Yes,less willing,had more important issues to attend
6005,5,0,I don't know,Yes,No,,,No,,,,,Yes,less willing,had more important issues to attend
6007,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
6008,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6009,5,0,I don't know,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
6010,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
6011,5,0,very valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
6013,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6014,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6015,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6016,5,0,I don't know,Yes,No,,,No,,,,,Yes,somewhat more willing,was not informed early enough
6018,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
6019,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,had more important issues to attend
6020,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
6021,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6022,5,0,very valuable,No,No,,,No,,,,,No,,
6023,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
6024,5,0,I don't know,Yes,No,,,No,,,,,Yes,I don't know,was not informed early enough
6026,5,0,,,,,,,,,,,,,
6027,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
6028,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
